,Time Length,Accuracy,Jammer Max Rate
0,100.0,99.47,2.0
1,100.0,98.52,3.0
2,100.0,98.5,4.0
3,100.0,97.42,5.0
4,100.0,96.65,6.0
5,100.0,95.14,7.0
6,100.0,92.47,8.0
7,100.0,94.1,9.0
8,100.0,93.78,10.0
9,100.0,92.98,11.0
10,100.0,90.09,12.0
11,100.0,91.73,13.0
12,100.0,90.55,14.0
13,100.0,88.45,15.0
14,100.0,89.57,16.0
15,100.0,89.26,17.0
16,100.0,89.75,18.0
17,100.0,89.17,19.0
18,100.0,87.0,20.0
19,100.0,85.99,21.0
20,100.0,85.29,22.0
21,100.0,83.55,23.0
22,100.0,85.5,24.0
23,100.0,85.72,25.0
24,100.0,85.17,26.0
25,100.0,88.5,27.0
26,100.0,83.47,28.0
27,100.0,82.38,29.0
28,100.0,82.9,30.0
29,100.0,81.32,31.0
30,100.0,83.42,32.0
31,100.0,82.26,33.0
32,100.0,82.12,34.0
33,100.0,80.93,35.0
34,100.0,81.01,36.0
35,100.0,81.99,37.0
36,100.0,82.37,38.0
37,100.0,79.65,39.0
38,100.0,83.14,40.0
39,100.0,81.68,41.0
40,100.0,80.44,42.0
41,100.0,81.9,43.0
42,100.0,84.86,44.0
43,100.0,81.14,45.0
44,100.0,82.44,46.0
45,100.0,78.37,47.0
46,100.0,80.79,48.0
47,100.0,79.71,49.0
48,100.0,81.14,50.0
49,100.0,80.11,51.0
50,100.0,78.84,52.0
51,100.0,79.44,53.0
52,100.0,80.38,54.0
53,100.0,80.77,55.0
54,100.0,80.82,56.0
55,100.0,78.99,57.0
56,100.0,80.01,58.0
57,100.0,80.0,59.0
58,100.0,78.95,60.0
59,100.0,79.03,61.0
60,100.0,81.21,62.0
61,100.0,81.47,63.0
62,100.0,78.53,64.0
63,100.0,79.19,65.0
64,100.0,81.59,66.0
65,100.0,78.33,67.0
66,100.0,80.07,68.0
67,100.0,77.96,69.0
68,100.0,78.45,70.0
69,100.0,79.45,71.0
70,100.0,79.73,72.0
71,100.0,76.14,73.0
72,100.0,78.13,74.0
73,100.0,80.48,75.0
74,100.0,78.98,76.0
75,100.0,79.55,77.0
76,100.0,79.32,78.0
77,100.0,80.79,79.0
78,100.0,76.69,80.0
79,100.0,80.36,81.0
80,100.0,78.24,82.0
81,100.0,77.88,83.0
82,100.0,77.87,84.0
83,100.0,79.53,85.0
84,100.0,77.83,86.0
85,100.0,77.33,87.0
86,100.0,72.18,88.0
87,100.0,77.99,89.0
88,100.0,75.29,90.0
89,100.0,74.18,91.0
90,100.0,79.64,92.0
91,100.0,79.17,93.0
92,100.0,73.59,94.0
93,100.0,76.39,95.0
94,100.0,80.2,96.0
95,100.0,78.68,97.0
96,100.0,78.97,98.0
97,100.0,79.65,99.0
98,100.0,72.4,100.0
99,100.0,77.76,101.0
100,100.0,82.5228,51.5
