,Time Length,Min Max Accuracy,Window Accuracy,Baseline Accuracy,Jammer Avg Rate
145,1000.0,75.03,45.219999999999985,54.35,7.75
146,1000.0,74.85999999999999,45.21999999999999,42.87,7.8
147,1000.0,75.91,45.379999999999995,42.55,7.85
148,1000.0,76.16,45.379999999999995,55.81,7.9
149,1000.0,76.91,45.29999999999999,51.25,7.95
150,1000.0,74.39999999999999,45.13999999999999,59.730000000000004,8.0
151,1000.0,80.7,45.379999999999995,44.83,8.05
152,1000.0,75.96000000000001,45.459999999999994,45.47,8.1
153,1000.0,74.65,45.459999999999994,46.95,8.15
154,1000.0,73.57000000000001,45.3,51.5,8.2
155,1000.0,76.21000000000001,45.379999999999995,51.96,8.25
156,1000.0,75.97,45.21999999999999,51.29,8.3
157,1000.0,78.65,45.379999999999995,48.65999999999999,8.35
158,1000.0,75.48,45.379999999999995,56.739999999999995,8.4
159,1000.0,79.57000000000001,45.13999999999999,43.65,8.45
160,1000.0,73.59,45.21999999999999,58.28000000000001,8.5
161,1000.0,74.84,45.54,46.14999999999999,8.55
162,1000.0,79.50999999999999,45.53999999999999,44.35,8.6
163,1000.0,77.56,45.379999999999995,54.519999999999996,8.65
164,1000.0,73.47999999999999,45.21999999999999,50.61,8.7
165,1000.0,78.97,45.3,48.64,8.75
166,1000.0,76.23999999999998,45.379999999999995,50.6,8.8
167,1000.0,77.53999999999999,45.3,49.51,8.85
168,1000.0,75.74,45.3,48.26,8.9
169,1000.0,75.17999999999999,45.3,45.69,8.95
170,1000.0,74.63000000000001,45.29999999999999,55.81999999999999,9.0
171,1000.0,74.97999999999999,45.3,50.57,9.05
172,1000.0,73.80999999999999,45.29999999999999,52.040000000000006,9.1
173,1000.0,73.76,45.379999999999995,36.57,9.15
174,1000.0,77.1,45.21999999999999,56.29,9.2
175,1000.0,74.25999999999999,45.219999999999985,49.54,9.25
176,1000.0,73.52,45.37999999999999,47.58999999999999,9.3
177,1000.0,75.14000000000001,45.379999999999995,41.68999999999999,9.35
178,1000.0,74.98999999999998,45.219999999999985,58.779999999999994,9.4
179,1000.0,77.94,45.3,44.040000000000006,9.45
180,1000.0,78.92,45.219999999999985,52.52,9.5
181,1000.0,78.44999999999999,45.699999999999996,32.730000000000004,9.55
182,1000.0,77.82,45.459999999999994,35.900000000000006,9.6
183,1000.0,75.22,45.21999999999999,54.279999999999994,9.65
184,1000.0,77.34,45.459999999999994,43.480000000000004,9.7
185,1000.0,76.38,45.61999999999999,43.12,9.75
186,1000.0,77.76,45.3,52.870000000000005,9.8
187,1000.0,74.65,45.05999999999999,58.25,9.85
188,1000.0,74.7,45.29999999999999,64.63000000000001,9.9
189,1000.0,74.49,45.379999999999995,49.790000000000006,9.95
190,1000.0,78.52047368421053,45.30852631578948,49.98147368421052,9.95
