,Time Length,Window Accuracy,Window Size
0,1000.0,50.535299999999964,0
1,1000.0,50.37680000000006,1
2,1000.0,50.08870000000002,2
3,1000.0,49.85289999999992,3
4,1000.0,50.0598,4
5,1000.0,50.21300000000004,5
6,1000.0,50.47339999999992,6
7,1000.0,50.568299999999994,7
8,1000.0,50.13699999999995,8
9,1000.0,50.441399999999994,9
10,1000.0,50.3129999999999,10
11,1000.0,50.44910000000012,11
12,1000.0,50.688099999999956,12
13,1000.0,50.367900000000034,13
14,1000.0,50.51320000000001,14
15,1000.0,50.769700000000014,15
16,1000.0,50.30169999999992,16
17,1000.0,50.56280000000001,17
18,1000.0,50.381800000000084,18
19,1000.0,50.62349999999995,19
20,1000.0,50.17500000000005,20
21,1000.0,50.57459999999999,21
22,1000.0,50.58400000000006,22
23,1000.0,51.001499999999965,23
24,1000.0,50.73329999999999,24
25,1000.0,50.91409999999994,25
26,1000.0,50.599200000000046,26
27,1000.0,51.06369999999996,27
28,1000.0,50.769199999999984,28
29,1000.0,51.01939999999995,29
30,1000.0,50.68910000000001,30
31,1000.0,50.80150000000001,31
32,1000.0,51.048300000000005,32
33,1000.0,50.65720000000012,33
34,1000.0,51.064900000000065,34
35,1000.0,51.003699999999995,35
36,1000.0,50.59629999999997,36
37,1000.0,51.2381,37
38,1000.0,50.86870000000001,38
39,1000.0,51.03119999999999,39
40,1000.0,50.72610000000003,40
41,1000.0,50.908699999999996,41
42,1000.0,50.97520000000005,42
43,1000.0,51.037100000000024,43
44,1000.0,50.843600000000066,44
45,1000.0,51.395100000000056,45
46,1000.0,51.26320000000005,46
47,1000.0,51.43019999999998,47
48,1000.0,51.16580000000001,48
49,1000.0,51.3025,49
50,1000.0,50.87549999999997,50
51,1000.0,51.082499999999925,51
52,1000.0,50.95219999999992,52
53,1000.0,50.83020000000004,53
54,1000.0,50.938999999999936,54
55,1000.0,51.15550000000003,55
56,1000.0,51.04179999999995,56
57,1000.0,51.498099999999916,57
58,1000.0,51.07410000000004,58
59,1000.0,51.07300000000001,59
60,1000.0,50.758999999999986,60
